Linux 5.15.0-171-generic (test1orca) 	03/23/26 	_x86_64_	(4 CPU)

13:38:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:39:00     all    0.00    0.00    0.75    0.00    0.00    0.00    0.25    0.00    0.00   98.99
13:39:01     all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
13:39:02     all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
13:39:03     all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
13:39:04     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.49
13:39:05     all    0.50    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.76
13:39:06     all    2.27    0.00    2.27    0.25    0.00    0.00    0.00    0.00    0.00   95.21
13:39:07     all    2.78    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   95.44
13:39:08     all    1.52    0.00    2.54    0.00    0.00    0.25    0.00    0.00    0.00   95.69
13:39:09     all    2.01    0.00    2.01    0.25    0.00    0.00    0.00    0.00    0.00   95.74
13:39:10     all    1.76    0.00    3.27    0.00    0.00    0.00    0.00    0.00    0.00   94.97
13:39:11     all    1.26    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.74
13:39:12     all    1.01    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   97.22
13:39:13     all    2.25    0.00    3.00    0.00    0.00    0.25    0.00    0.00    0.00   94.50
13:39:14     all    2.02    0.00    2.52    0.00    0.00    0.00    0.00    0.00    0.00   95.47
13:39:15     all    2.27    0.00    1.76    0.00    0.00    0.00    0.00    0.00    0.00   95.97
13:39:16     all    1.78    0.00    2.28    0.00    0.00    0.00    0.00    0.00    0.00   95.94
13:39:17     all    1.25    0.00    2.76    0.00    0.00    0.00    0.00    0.00    0.00   95.99
13:39:18     all    2.53    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   95.44
13:39:19     all    2.27    0.00    2.27    0.00    0.00    0.25    0.00    0.00    0.00   95.20
13:39:20     all    2.76    0.00    2.26    0.00    0.00    0.00    0.00    0.00    0.00   94.97
13:39:21     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
13:39:22     all    1.77    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.96
13:39:23     all    2.27    0.00    2.78    0.00    0.00    0.00    0.00    0.00    0.00   94.95
13:39:24     all    2.00    0.00    2.75    0.00    0.00    0.25    0.00    0.00    0.00   95.00
13:39:25     all    2.03    0.00    2.53    0.00    0.00    0.00    0.00    0.00    0.00   95.44
13:39:26     all    2.53    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   95.70
13:39:27     all    2.28    0.00    2.03    0.25    0.00    0.00    0.00    0.00    0.00   95.43
13:39:28     all    2.01    0.00    2.76    0.00    0.00    0.00    0.00    0.00    0.00   95.23
13:39:29     all    2.28    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   95.94
13:39:30     all    0.25    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   99.00
