Linux 5.15.0-171-generic (test1orca) 	03/24/26 	_x86_64_	(4 CPU)

15:32:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:32:07     all    0.50    0.00    1.24    0.00    0.00    0.00    0.00    0.00    0.00   98.26
15:32:08     all    0.00    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   99.50
15:32:09     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
15:32:10     all    0.00    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   99.25
15:32:11     all    0.00    0.00    0.50    0.25    0.00    0.00    0.00    0.00    0.00   99.25
15:32:12     all    0.50    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.75
15:32:13     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
15:32:14     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
15:32:15     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:32:16     all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
15:32:17     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
15:32:18     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
15:32:19     all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
15:32:20     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
15:32:21     all    2.26    0.00    1.76    0.00    0.00    0.25    0.00    0.00    0.00   95.73
15:32:22     all    2.51    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   95.48
15:32:23     all    1.52    0.00    2.28    0.00    0.00    0.00    0.00    0.00    0.00   96.20
15:32:24     all    1.76    0.00    2.77    0.00    0.00    0.00    0.00    0.00    0.00   95.47
15:32:25     all    2.26    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   95.73
15:32:26     all    0.25    0.00    0.75    0.25    0.00    0.00    0.00    0.00    0.00   98.74
15:32:27     all    1.26    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.73
15:32:28     all    2.02    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.72
15:32:29     all    2.25    0.00    2.25    0.00    0.00    0.00    0.00    0.00    0.00   95.50
15:32:30     all    2.26    0.00    2.26    0.00    0.00    0.00    0.00    0.00    0.00   95.48
15:32:31     all    2.28    0.00    1.52    0.00    0.00    0.00    0.00    0.00    0.00   96.20
15:32:32     all    2.98    0.00    2.48    0.00    0.00    0.25    0.00    0.00    0.00   94.29
15:32:33     all    1.53    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   96.69
15:32:34     all    1.51    0.00    2.26    0.00    0.00    0.25    0.00    0.00    0.00   95.98
15:32:35     all    1.75    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   95.25
15:32:36     all    1.26    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   97.99
15:32:37     all    0.75    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.49
15:32:38     all    2.28    0.00    2.53    0.00    0.00    0.00    0.00    0.00    0.00   95.19
15:32:39     all    2.76    0.00    2.51    0.00    0.00    0.00    0.00    0.00    0.00   94.74
15:32:40     all    2.01    0.00    3.27    0.00    0.00    0.00    0.00    0.00    0.00   94.72
15:32:41     all    2.50    0.00    2.50    0.25    0.00    0.50    0.00    0.00    0.00   94.25
15:32:42     all    2.53    0.00    2.28    0.00    0.00    0.00    0.00    0.00    0.00   95.19
15:32:43     all    2.77    0.00    2.52    0.00    0.00    0.00    0.00    0.00    0.00   94.71
15:32:44     all    2.27    0.00    2.53    0.00    0.00    0.00    0.00    0.00    0.00   95.20
15:32:45     all    0.76    0.00    1.27    0.00    0.00    0.00    0.00    0.00    0.00   97.97
15:32:46     all    1.01    0.00    1.52    0.00    0.00    0.00    0.00    0.00    0.00   97.47
15:32:47     all    2.02    0.00    2.52    0.00    0.00    0.00    0.00    0.00    0.00   95.47
15:32:48     all    2.53    0.00    3.04    0.00    0.00    0.00    0.00    0.00    0.00   94.43
15:32:49     all    2.99    0.00    2.24    0.00    0.00    0.00    0.00    0.00    0.00   94.76
15:32:50     all    2.78    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   95.45
15:32:51     all    1.52    0.00    2.53    0.51    0.00    0.00    0.00    0.00    0.00   95.44
15:32:52     all    2.01    0.00    2.01    0.00    0.00    0.25    0.00    0.00    0.00   95.73
15:32:53     all    2.01    0.00    3.01    0.00    0.00    0.00    0.00    0.00    0.00   94.99
15:32:54     all    1.01    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   96.98
15:32:55     all    1.50    0.00    1.25    0.00    0.00    0.00    0.00    0.00    0.00   97.24
15:32:56     all    2.02    0.00    2.27    0.00    0.00    0.25    0.00    0.00    0.00   95.47
15:32:57     all    2.51    0.00    2.51    0.00    0.00    0.00    0.00    0.00    0.00   94.97
15:32:58     all    2.51    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   95.48
15:32:59     all    2.02    0.00    2.27    0.00    0.00    0.25    0.00    0.00    0.00   95.45
15:33:00     all    2.27    0.00    2.77    0.00    0.00    0.00    0.00    0.00    0.00   94.96
15:33:01     all    2.53    0.00    2.78    0.00    0.00    0.00    0.00    0.00    0.00   94.70
15:33:02     all    1.77    0.00    2.53    0.00    0.00    0.00    0.00    0.00    0.00   95.71
15:33:03     all    1.01    0.00    1.76    0.00    0.00    0.00    0.00    0.00    0.00   97.23
15:33:04     all    1.75    0.00    1.25    0.00    0.00    0.25    0.00    0.00    0.00   96.74
15:33:05     all    2.03    0.00    2.53    0.00    0.00    0.00    0.00    0.00    0.00   95.44
15:33:06     all    3.01    0.00    2.26    0.25    0.00    0.00    0.00    0.00    0.00   94.49
15:33:07     all    2.02    0.00    2.53    0.00    0.00    0.00    0.00    0.00    0.00   95.45
15:33:08     all    6.68    0.00    5.40    0.00    0.00    1.29    0.00    0.00    0.00   86.63
