part,scenario,stagger_delay,run,client_id,group,total_duration_s,total_bytes,layer_digest_short,layer_duration_s,layer_size,layer_status,layer_cache_status
stagger,A,0,1,0,1,34.447,410464994,sha256:299c82f5afaa,0.1776,6525,200,unknown
stagger,A,0,1,0,1,34.447,410464994,sha256:866771c43bf5,14.6682,49293124,200,unknown
stagger,A,0,1,0,1,34.447,410464994,sha256:ed881fbf1b07,10.1518,25614562,200,unknown
stagger,A,0,1,0,1,34.447,410464994,sha256:9da421ddeb65,20.9475,67778971,200,unknown
stagger,A,0,1,0,1,34.447,410464994,sha256:a793e3c6bce8,34.4427,236030458,200,unknown
stagger,A,0,1,0,1,34.447,410464994,sha256:10c3183ecaa6,4.2301,6085049,200,unknown
stagger,A,0,1,0,1,34.447,410464994,sha256:15991188a884,6.0337,25656055,200,unknown
stagger,A,0,1,0,1,34.447,410464994,sha256:5142ad1c6011,0.1897,250,200,unknown
stagger,A,0,1,1,1,34.447,410464994,sha256:299c82f5afaa,0.1757,6525,200,unknown
stagger,A,0,1,1,1,34.447,410464994,sha256:866771c43bf5,14.6644,49293124,200,unknown
stagger,A,0,1,1,1,34.447,410464994,sha256:ed881fbf1b07,10.1497,25614562,200,unknown
stagger,A,0,1,1,1,34.447,410464994,sha256:9da421ddeb65,20.9465,67778971,200,unknown
stagger,A,0,1,1,1,34.447,410464994,sha256:a793e3c6bce8,34.4407,236030458,200,unknown
stagger,A,0,1,1,1,34.447,410464994,sha256:10c3183ecaa6,4.2248,6085049,200,unknown
stagger,A,0,1,1,1,34.447,410464994,sha256:15991188a884,6.0319,25656055,200,unknown
stagger,A,0,1,1,1,34.447,410464994,sha256:5142ad1c6011,0.2026,250,200,unknown
stagger,A,0,1,2,1,34.447,410464994,sha256:299c82f5afaa,0.1734,6525,200,unknown
stagger,A,0,1,2,1,34.447,410464994,sha256:866771c43bf5,14.6641,49293124,200,unknown
stagger,A,0,1,2,1,34.447,410464994,sha256:ed881fbf1b07,10.1466,25614562,200,unknown
stagger,A,0,1,2,1,34.447,410464994,sha256:9da421ddeb65,20.9437,67778971,200,unknown
stagger,A,0,1,2,1,34.447,410464994,sha256:a793e3c6bce8,34.4361,236030458,200,unknown
stagger,A,0,1,2,1,34.447,410464994,sha256:10c3183ecaa6,4.2219,6085049,200,unknown
stagger,A,0,1,2,1,34.447,410464994,sha256:15991188a884,6.0248,25656055,200,unknown
stagger,A,0,1,2,1,34.447,410464994,sha256:5142ad1c6011,0.1986,250,200,unknown
stagger,A,0,1,3,1,34.447,410464994,sha256:299c82f5afaa,0.1725,6525,200,unknown
stagger,A,0,1,3,1,34.447,410464994,sha256:866771c43bf5,14.6630,49293124,200,unknown
stagger,A,0,1,3,1,34.447,410464994,sha256:ed881fbf1b07,10.1447,25614562,200,unknown
stagger,A,0,1,3,1,34.447,410464994,sha256:9da421ddeb65,20.9411,67778971,200,unknown
stagger,A,0,1,3,1,34.447,410464994,sha256:a793e3c6bce8,34.4366,236030458,200,unknown
stagger,A,0,1,3,1,34.447,410464994,sha256:10c3183ecaa6,4.2207,6085049,200,unknown
stagger,A,0,1,3,1,34.447,410464994,sha256:15991188a884,6.0270,25656055,200,unknown
stagger,A,0,1,3,1,34.447,410464994,sha256:5142ad1c6011,0.1971,250,200,unknown
stagger,A,0,1,4,1,34.447,410464994,sha256:299c82f5afaa,0.1704,6525,200,unknown
stagger,A,0,1,4,1,34.447,410464994,sha256:866771c43bf5,14.6571,49293124,200,unknown
stagger,A,0,1,4,1,34.447,410464994,sha256:ed881fbf1b07,10.1461,25614562,200,unknown
stagger,A,0,1,4,1,34.447,410464994,sha256:9da421ddeb65,20.9408,67778971,200,unknown
stagger,A,0,1,4,1,34.447,410464994,sha256:a793e3c6bce8,34.4352,236030458,200,unknown
stagger,A,0,1,4,1,34.447,410464994,sha256:10c3183ecaa6,4.2190,6085049,200,unknown
stagger,A,0,1,4,1,34.447,410464994,sha256:15991188a884,6.0257,25656055,200,unknown
stagger,A,0,1,4,1,34.447,410464994,sha256:5142ad1c6011,0.1960,250,200,unknown
stagger,A,0,1,5,1,34.447,410464994,sha256:299c82f5afaa,0.1692,6525,200,unknown
stagger,A,0,1,5,1,34.447,410464994,sha256:866771c43bf5,14.6584,49293124,200,unknown
stagger,A,0,1,5,1,34.447,410464994,sha256:ed881fbf1b07,10.1421,25614562,200,unknown
stagger,A,0,1,5,1,34.447,410464994,sha256:9da421ddeb65,20.9400,67778971,200,unknown
stagger,A,0,1,5,1,34.447,410464994,sha256:a793e3c6bce8,34.4333,236030458,200,unknown
stagger,A,0,1,5,1,34.447,410464994,sha256:10c3183ecaa6,4.2208,6085049,200,unknown
stagger,A,0,1,5,1,34.447,410464994,sha256:15991188a884,6.0241,25656055,200,unknown
stagger,A,0,1,5,1,34.447,410464994,sha256:5142ad1c6011,0.1941,250,200,unknown
stagger,A,0,1,6,1,34.447,410464994,sha256:299c82f5afaa,0.1679,6525,200,unknown
stagger,A,0,1,6,1,34.447,410464994,sha256:866771c43bf5,14.6570,49293124,200,unknown
stagger,A,0,1,6,1,34.447,410464994,sha256:ed881fbf1b07,10.1406,25614562,200,unknown
stagger,A,0,1,6,1,34.447,410464994,sha256:9da421ddeb65,20.9358,67778971,200,unknown
stagger,A,0,1,6,1,34.447,410464994,sha256:a793e3c6bce8,34.4327,236030458,200,unknown
stagger,A,0,1,6,1,34.447,410464994,sha256:10c3183ecaa6,4.2156,6085049,200,unknown
stagger,A,0,1,6,1,34.447,410464994,sha256:15991188a884,6.0230,25656055,200,unknown
stagger,A,0,1,6,1,34.447,410464994,sha256:5142ad1c6011,0.1791,250,200,unknown
stagger,A,0,1,7,1,34.447,410464994,sha256:299c82f5afaa,0.1647,6525,200,unknown
stagger,A,0,1,7,1,34.447,410464994,sha256:866771c43bf5,14.6554,49293124,200,unknown
stagger,A,0,1,7,1,34.447,410464994,sha256:ed881fbf1b07,10.1390,25614562,200,unknown
stagger,A,0,1,7,1,34.447,410464994,sha256:9da421ddeb65,20.9362,67778971,200,unknown
stagger,A,0,1,7,1,34.447,410464994,sha256:a793e3c6bce8,34.4304,236030458,200,unknown
stagger,A,0,1,7,1,34.447,410464994,sha256:10c3183ecaa6,4.2143,6085049,200,unknown
stagger,A,0,1,7,1,34.447,410464994,sha256:15991188a884,6.0214,25656055,200,unknown
stagger,A,0,1,7,1,34.447,410464994,sha256:5142ad1c6011,0.1781,250,200,unknown
stagger,A,0,1,8,1,34.447,410464994,sha256:299c82f5afaa,0.1632,6525,200,unknown
stagger,A,0,1,8,1,34.447,410464994,sha256:866771c43bf5,14.6523,49293124,200,unknown
stagger,A,0,1,8,1,34.447,410464994,sha256:ed881fbf1b07,10.1374,25614562,200,unknown
stagger,A,0,1,8,1,34.447,410464994,sha256:9da421ddeb65,20.9345,67778971,200,unknown
stagger,A,0,1,8,1,34.447,410464994,sha256:a793e3c6bce8,34.4286,236030458,200,unknown
stagger,A,0,1,8,1,34.447,410464994,sha256:10c3183ecaa6,4.2129,6085049,200,unknown
stagger,A,0,1,8,1,34.447,410464994,sha256:15991188a884,6.0155,25656055,200,unknown
stagger,A,0,1,8,1,34.447,410464994,sha256:5142ad1c6011,0.1759,250,200,unknown
stagger,A,0,1,9,1,34.447,410464994,sha256:299c82f5afaa,0.1633,6525,200,unknown
stagger,A,0,1,9,1,34.447,410464994,sha256:866771c43bf5,14.6506,49293124,200,unknown
stagger,A,0,1,9,1,34.447,410464994,sha256:ed881fbf1b07,10.1361,25614562,200,unknown
stagger,A,0,1,9,1,34.447,410464994,sha256:9da421ddeb65,20.9318,67778971,200,unknown
stagger,A,0,1,9,1,34.447,410464994,sha256:a793e3c6bce8,34.4273,236030458,200,unknown
stagger,A,0,1,9,1,34.447,410464994,sha256:10c3183ecaa6,4.2113,6085049,200,unknown
stagger,A,0,1,9,1,34.447,410464994,sha256:15991188a884,6.0140,25656055,200,unknown
stagger,A,0,1,9,1,34.447,410464994,sha256:5142ad1c6011,0.1745,250,200,unknown
stagger,A,0,1,10,1,34.447,410464994,sha256:299c82f5afaa,0.1601,6525,200,unknown
stagger,A,0,1,10,1,34.447,410464994,sha256:866771c43bf5,14.6507,49293124,200,unknown
stagger,A,0,1,10,1,34.447,410464994,sha256:ed881fbf1b07,10.1343,25614562,200,unknown
stagger,A,0,1,10,1,34.447,410464994,sha256:9da421ddeb65,20.9303,67778971,200,unknown
stagger,A,0,1,10,1,34.447,410464994,sha256:a793e3c6bce8,34.4255,236030458,200,unknown
stagger,A,0,1,10,1,34.447,410464994,sha256:10c3183ecaa6,4.2095,6085049,200,unknown
stagger,A,0,1,10,1,34.447,410464994,sha256:15991188a884,6.0201,25656055,200,unknown
stagger,A,0,1,10,1,34.447,410464994,sha256:5142ad1c6011,0.1730,250,200,unknown
stagger,A,0,1,11,1,34.447,410464994,sha256:299c82f5afaa,0.1603,6525,200,unknown
stagger,A,0,1,11,1,34.447,410464994,sha256:866771c43bf5,14.6460,49293124,200,unknown
stagger,A,0,1,11,1,34.447,410464994,sha256:ed881fbf1b07,10.1350,25614562,200,unknown
stagger,A,0,1,11,1,34.447,410464994,sha256:9da421ddeb65,20.9279,67778971,200,unknown
stagger,A,0,1,11,1,34.447,410464994,sha256:a793e3c6bce8,34.4248,236030458,200,unknown
stagger,A,0,1,11,1,34.447,410464994,sha256:10c3183ecaa6,4.2082,6085049,200,unknown
stagger,A,0,1,11,1,34.447,410464994,sha256:15991188a884,6.0108,25656055,200,unknown
stagger,A,0,1,11,1,34.447,410464994,sha256:5142ad1c6011,0.1716,250,200,unknown
stagger,A,0,1,12,1,34.447,410464994,sha256:299c82f5afaa,0.1583,6525,200,unknown
stagger,A,0,1,12,1,34.447,410464994,sha256:866771c43bf5,14.6458,49293124,200,unknown
stagger,A,0,1,12,1,34.447,410464994,sha256:ed881fbf1b07,10.1314,25614562,200,unknown
stagger,A,0,1,12,1,34.447,410464994,sha256:9da421ddeb65,20.9289,67778971,200,unknown
stagger,A,0,1,12,1,34.447,410464994,sha256:a793e3c6bce8,34.4227,236030458,200,unknown
stagger,A,0,1,12,1,34.447,410464994,sha256:10c3183ecaa6,4.2064,6085049,200,unknown
stagger,A,0,1,12,1,34.447,410464994,sha256:15991188a884,6.0132,25656055,200,unknown
stagger,A,0,1,12,1,34.447,410464994,sha256:5142ad1c6011,0.1693,250,200,unknown
stagger,A,0,1,13,1,34.447,410464994,sha256:299c82f5afaa,0.1552,6525,200,unknown
stagger,A,0,1,13,1,34.447,410464994,sha256:866771c43bf5,14.6457,49293124,200,unknown
stagger,A,0,1,13,1,34.447,410464994,sha256:ed881fbf1b07,10.1292,25614562,200,unknown
stagger,A,0,1,13,1,34.447,410464994,sha256:9da421ddeb65,20.9249,67778971,200,unknown
stagger,A,0,1,13,1,34.447,410464994,sha256:a793e3c6bce8,34.4205,236030458,200,unknown
stagger,A,0,1,13,1,34.447,410464994,sha256:10c3183ecaa6,4.2046,6085049,200,unknown
stagger,A,0,1,13,1,34.447,410464994,sha256:15991188a884,6.0114,25656055,200,unknown
stagger,A,0,1,13,1,34.447,410464994,sha256:5142ad1c6011,0.1677,250,200,unknown
stagger,A,0,1,14,1,34.447,410464994,sha256:299c82f5afaa,0.1535,6525,200,unknown
stagger,A,0,1,14,1,34.447,410464994,sha256:866771c43bf5,14.6402,49293124,200,unknown
stagger,A,0,1,14,1,34.447,410464994,sha256:ed881fbf1b07,10.1299,25614562,200,unknown
stagger,A,0,1,14,1,34.447,410464994,sha256:9da421ddeb65,20.9255,67778971,200,unknown
stagger,A,0,1,14,1,34.447,410464994,sha256:a793e3c6bce8,34.4191,236030458,200,unknown
stagger,A,0,1,14,1,34.447,410464994,sha256:10c3183ecaa6,4.2064,6085049,200,unknown
stagger,A,0,1,14,1,34.447,410464994,sha256:15991188a884,6.0100,25656055,200,unknown
stagger,A,0,1,14,1,34.447,410464994,sha256:5142ad1c6011,0.1671,250,200,unknown
stagger,A,0,1,15,1,34.446,410464994,sha256:299c82f5afaa,0.1523,6525,200,unknown
stagger,A,0,1,15,1,34.446,410464994,sha256:866771c43bf5,14.6426,49293124,200,unknown
stagger,A,0,1,15,1,34.446,410464994,sha256:ed881fbf1b07,10.1285,25614562,200,unknown
stagger,A,0,1,15,1,34.446,410464994,sha256:9da421ddeb65,20.9232,67778971,200,unknown
stagger,A,0,1,15,1,34.446,410464994,sha256:a793e3c6bce8,34.4173,236030458,200,unknown
stagger,A,0,1,15,1,34.446,410464994,sha256:10c3183ecaa6,4.2014,6085049,200,unknown
stagger,A,0,1,15,1,34.446,410464994,sha256:15991188a884,6.0084,25656055,200,unknown
stagger,A,0,1,15,1,34.446,410464994,sha256:5142ad1c6011,0.1655,250,200,unknown
stagger,A,0,1,16,1,34.447,410464994,sha256:299c82f5afaa,0.1519,6525,200,unknown
stagger,A,0,1,16,1,34.447,410464994,sha256:866771c43bf5,14.6379,49293124,200,unknown
stagger,A,0,1,16,1,34.447,410464994,sha256:ed881fbf1b07,10.1245,25614562,200,unknown
stagger,A,0,1,16,1,34.447,410464994,sha256:9da421ddeb65,20.9218,67778971,200,unknown
stagger,A,0,1,16,1,34.447,410464994,sha256:a793e3c6bce8,34.4161,236030458,200,unknown
stagger,A,0,1,16,1,34.447,410464994,sha256:10c3183ecaa6,4.2031,6085049,200,unknown
stagger,A,0,1,16,1,34.447,410464994,sha256:15991188a884,6.0064,25656055,200,unknown
stagger,A,0,1,16,1,34.447,410464994,sha256:5142ad1c6011,0.1635,250,200,unknown
stagger,A,0,1,17,1,34.446,410464994,sha256:299c82f5afaa,0.1504,6525,200,unknown
stagger,A,0,1,17,1,34.446,410464994,sha256:866771c43bf5,14.6365,49293124,200,unknown
stagger,A,0,1,17,1,34.446,410464994,sha256:ed881fbf1b07,10.1231,25614562,200,unknown
stagger,A,0,1,17,1,34.446,410464994,sha256:9da421ddeb65,20.9198,67778971,200,unknown
stagger,A,0,1,17,1,34.446,410464994,sha256:a793e3c6bce8,34.4122,236030458,200,unknown
stagger,A,0,1,17,1,34.446,410464994,sha256:10c3183ecaa6,4.1981,6085049,200,unknown
stagger,A,0,1,17,1,34.446,410464994,sha256:15991188a884,6.0007,25656055,200,unknown
stagger,A,0,1,17,1,34.446,410464994,sha256:5142ad1c6011,0.1614,250,200,unknown
stagger,A,0,1,18,1,34.447,410464994,sha256:299c82f5afaa,0.1470,6525,200,unknown
stagger,A,0,1,18,1,34.447,410464994,sha256:866771c43bf5,14.6374,49293124,200,unknown
stagger,A,0,1,18,1,34.447,410464994,sha256:ed881fbf1b07,10.1165,25614562,200,unknown
stagger,A,0,1,18,1,34.447,410464994,sha256:9da421ddeb65,20.9169,67778971,200,unknown
stagger,A,0,1,18,1,34.447,410464994,sha256:a793e3c6bce8,34.4127,236030458,200,unknown
stagger,A,0,1,18,1,34.447,410464994,sha256:10c3183ecaa6,4.1964,6085049,200,unknown
stagger,A,0,1,18,1,34.447,410464994,sha256:15991188a884,6.0065,25656055,200,unknown
stagger,A,0,1,18,1,34.447,410464994,sha256:5142ad1c6011,0.1625,250,200,unknown
stagger,A,0,1,19,1,34.447,410464994,sha256:299c82f5afaa,0.1457,6525,200,unknown
stagger,A,0,1,19,1,34.447,410464994,sha256:866771c43bf5,14.6345,49293124,200,unknown
stagger,A,0,1,19,1,34.447,410464994,sha256:ed881fbf1b07,10.1223,25614562,200,unknown
stagger,A,0,1,19,1,34.447,410464994,sha256:9da421ddeb65,20.9170,67778971,200,unknown
stagger,A,0,1,19,1,34.447,410464994,sha256:a793e3c6bce8,34.4114,236030458,200,unknown
stagger,A,0,1,19,1,34.447,410464994,sha256:10c3183ecaa6,4.1954,6085049,200,unknown
stagger,A,0,1,19,1,34.447,410464994,sha256:15991188a884,6.0022,25656055,200,unknown
stagger,A,0,1,19,1,34.447,410464994,sha256:5142ad1c6011,0.1595,250,200,unknown
stagger,A,0,1,20,1,34.446,410464994,sha256:299c82f5afaa,0.1455,6525,200,unknown
stagger,A,0,1,20,1,34.446,410464994,sha256:866771c43bf5,14.6349,49293124,200,unknown
stagger,A,0,1,20,1,34.446,410464994,sha256:ed881fbf1b07,10.1208,25614562,200,unknown
stagger,A,0,1,20,1,34.446,410464994,sha256:9da421ddeb65,20.9138,67778971,200,unknown
stagger,A,0,1,20,1,34.446,410464994,sha256:a793e3c6bce8,34.4097,236030458,200,unknown
stagger,A,0,1,20,1,34.446,410464994,sha256:10c3183ecaa6,4.1973,6085049,200,unknown
stagger,A,0,1,20,1,34.446,410464994,sha256:15991188a884,5.9966,25656055,200,unknown
stagger,A,0,1,20,1,34.446,410464994,sha256:5142ad1c6011,0.1579,250,200,unknown
stagger,A,0,1,21,1,34.446,410464994,sha256:299c82f5afaa,0.1439,6525,200,unknown
stagger,A,0,1,21,1,34.446,410464994,sha256:866771c43bf5,14.6307,49293124,200,unknown
stagger,A,0,1,21,1,34.446,410464994,sha256:ed881fbf1b07,10.1171,25614562,200,unknown
stagger,A,0,1,21,1,34.446,410464994,sha256:9da421ddeb65,20.9143,67778971,200,unknown
stagger,A,0,1,21,1,34.446,410464994,sha256:a793e3c6bce8,34.4088,236030458,200,unknown
stagger,A,0,1,21,1,34.446,410464994,sha256:10c3183ecaa6,4.1927,6085049,200,unknown
stagger,A,0,1,21,1,34.446,410464994,sha256:15991188a884,5.9954,25656055,200,unknown
stagger,A,0,1,21,1,34.446,410464994,sha256:5142ad1c6011,0.1564,250,200,unknown
stagger,A,0,1,22,1,34.446,410464994,sha256:299c82f5afaa,0.1431,6525,200,unknown
stagger,A,0,1,22,1,34.446,410464994,sha256:866771c43bf5,14.6323,49293124,200,unknown
stagger,A,0,1,22,1,34.446,410464994,sha256:ed881fbf1b07,10.1155,25614562,200,unknown
stagger,A,0,1,22,1,34.446,410464994,sha256:9da421ddeb65,20.9119,67778971,200,unknown
stagger,A,0,1,22,1,34.446,410464994,sha256:a793e3c6bce8,34.4074,236030458,200,unknown
stagger,A,0,1,22,1,34.446,410464994,sha256:10c3183ecaa6,4.1915,6085049,200,unknown
stagger,A,0,1,22,1,34.446,410464994,sha256:15991188a884,5.9944,25656055,200,unknown
stagger,A,0,1,22,1,34.446,410464994,sha256:5142ad1c6011,0.1549,250,200,unknown
stagger,A,0,1,23,1,34.446,410464994,sha256:299c82f5afaa,0.1415,6525,200,unknown
stagger,A,0,1,23,1,34.446,410464994,sha256:866771c43bf5,14.6280,49293124,200,unknown
stagger,A,0,1,23,1,34.446,410464994,sha256:ed881fbf1b07,10.1149,25614562,200,unknown
stagger,A,0,1,23,1,34.446,410464994,sha256:9da421ddeb65,20.9106,67778971,200,unknown
stagger,A,0,1,23,1,34.446,410464994,sha256:a793e3c6bce8,34.4059,236030458,200,unknown
stagger,A,0,1,23,1,34.446,410464994,sha256:10c3183ecaa6,4.1896,6085049,200,unknown
stagger,A,0,1,23,1,34.446,410464994,sha256:15991188a884,6.0001,25656055,200,unknown
stagger,A,0,1,23,1,34.446,410464994,sha256:5142ad1c6011,0.1664,250,200,unknown
stagger,A,0,1,24,1,34.446,410464994,sha256:299c82f5afaa,0.1398,6525,200,unknown
stagger,A,0,1,24,1,34.446,410464994,sha256:866771c43bf5,14.6262,49293124,200,unknown
stagger,A,0,1,24,1,34.446,410464994,sha256:ed881fbf1b07,10.1128,25614562,200,unknown
stagger,A,0,1,24,1,34.446,410464994,sha256:9da421ddeb65,20.9099,67778971,200,unknown
stagger,A,0,1,24,1,34.446,410464994,sha256:a793e3c6bce8,34.4042,236030458,200,unknown
stagger,A,0,1,24,1,34.446,410464994,sha256:10c3183ecaa6,4.1930,6085049,200,unknown
stagger,A,0,1,24,1,34.446,410464994,sha256:15991188a884,5.9908,25656055,200,unknown
stagger,A,0,1,24,1,34.446,410464994,sha256:5142ad1c6011,0.1650,250,200,unknown
stagger,A,0,1,25,2,34.446,410464994,sha256:299c82f5afaa,0.1387,6525,200,unknown
stagger,A,0,1,25,2,34.446,410464994,sha256:866771c43bf5,14.6279,49293124,200,unknown
stagger,A,0,1,25,2,34.446,410464994,sha256:ed881fbf1b07,10.1117,25614562,200,unknown
stagger,A,0,1,25,2,34.446,410464994,sha256:9da421ddeb65,20.9086,67778971,200,unknown
