scenario,stagger_delay_s,run,g1_avg_s,g1_min_s,g1_max_s,g1_p50_s,g1_p95_s,g2_avg_s,g2_min_s,g2_max_s,g2_p50_s,g2_p95_s,wall_time_s,g1_total_bytes,g2_total_bytes
A,0,1,34.447,34.446,34.447,34.447,34.447,34.446,34.445,34.446,34.446,34.446,34.447,10261624850,10261624850
A,0,2,34.435,34.434,34.437,34.435,34.437,34.433,34.432,34.434,34.433,34.434,34.437,10261624850,10261624850
A,0,3,34.467,34.465,34.469,34.467,34.468,34.465,34.463,34.467,34.465,34.466,34.469,10261624850,10261624850
B,5,1,34.434,34.433,34.436,34.434,34.436,29.433,29.432,29.433,29.433,29.433,34.436,10261624850,10261624850
B,5,2,34.437,34.436,34.438,34.437,34.438,29.432,29.427,29.438,29.427,29.437,34.438,10261624850,10261624850
B,5,3,34.433,34.432,34.434,34.433,34.434,29.433,29.432,29.434,29.433,29.434,34.434,10261624850,10261624850
C,15,1,34.406,34.405,34.408,34.406,34.407,19.406,19.405,19.407,19.406,19.406,34.408,10261624850,10261624850
C,15,2,34.404,34.403,34.406,34.404,34.406,19.403,19.402,19.404,19.403,19.404,34.406,10261624850,10261624850
C,15,3,34.402,34.401,34.403,34.402,34.403,19.401,19.401,19.402,19.401,19.402,34.403,10261624850,10261624850
D,30,1,36.036,34.400,37.224,36.569,37.219,8.259,7.255,8.467,8.365,8.466,37.224,10261624850,10261624850
D,30,2,36.052,35.806,36.882,35.897,36.877,8.056,7.991,8.156,8.035,8.143,36.882,10261624850,10261624850
D,30,3,34.513,34.401,35.394,34.404,35.266,6.139,6.077,6.174,6.141,6.174,35.394,10261624850,10261624850
E,45,1,34.396,34.394,34.397,34.395,34.397,4.560,4.556,4.564,4.560,4.564,34.397,10261624850,10261624850
E,45,2,34.387,34.386,34.388,34.387,34.388,5.160,5.112,5.227,5.160,5.214,34.388,10261624850,10261624850
E,45,3,34.388,34.387,34.389,34.388,34.389,5.009,4.959,5.096,4.994,5.095,34.389,10261624850,10261624850
