timestamp,cache_hit,cache_miss,s_fetch,n_object,thread_queue_len,threads
19:35:28,2291760,230419,230419,14,0,200
19:35:33,2291760,230419,230419,14,0,200
19:35:38,2291760,230419,230419,14,0,200
19:35:43,2291760,230419,230419,14,0,200
19:35:48,2291760,230419,230419,14,0,200
19:35:54,2291760,230419,230419,14,0,200
19:35:59,2291760,230419,230419,14,0,200
19:36:04,2291760,230419,230419,13,0,200
19:36:09,2291760,230419,230419,13,0,200
19:36:14,2291760,230419,230419,13,0,200
19:36:19,2291760,230419,230419,13,0,200
19:36:24,2291760,230419,230419,13,0,200
19:36:30,2291760,230419,230419,13,0,200
19:36:35,2291760,230419,230419,13,0,200
19:36:40,2291760,230419,230419,13,0,200
19:36:45,2291760,230419,230419,13,0,200
19:36:50,2291760,230419,230419,13,0,200
19:36:55,2291907,230422,230422,9,0,552
19:37:01,2291956,230423,230423,10,0,552
19:37:06,2292054,230425,230425,12,0,552
19:37:11,2292054,230425,230425,12,0,552
19:37:16,2292103,230426,230426,13,0,552
19:37:21,2292103,230426,230426,13,0,552
19:37:26,2292152,230427,230427,14,0,552
19:37:32,2292152,230427,230427,14,0,552
19:37:37,2292152,230427,230427,14,0,552
19:37:42,2292152,230427,230427,14,0,552
19:37:47,2292152,230427,230427,14,0,552
19:37:52,2292152,230427,230427,14,0,552
19:37:57,2292250,230429,230429,8,0,552
19:38:03,2292299,230430,230430,9,0,552
19:38:08,2292299,230430,230430,9,0,552
19:38:13,2292446,230433,230433,12,0,552
19:38:18,2292495,230434,230434,13,0,552
19:38:23,2292495,230434,230434,13,0,552
19:38:28,2292495,230434,230434,13,0,552
19:38:34,2292544,230435,230435,14,0,552
19:38:39,2292544,230435,230435,14,0,552
19:38:44,2292544,230435,230435,14,0,552
19:38:49,2292544,230435,230435,14,0,552
19:38:54,2292544,230435,230435,14,0,552
19:38:59,2292544,230435,230435,14,0,552
19:39:05,2292544,230435,230435,14,0,552
19:39:10,2292544,230435,230435,14,0,552
19:39:15,2292544,230435,230435,14,0,552
19:39:20,2292544,230435,230435,14,0,552
19:39:25,2292544,230435,230435,14,0,552
19:39:30,2292544,230435,230435,14,0,552
19:39:36,2292544,230435,230435,14,0,552
19:39:41,2292544,230435,230435,14,0,552
19:39:46,2292544,230435,230435,14,0,552
19:39:51,2292544,230435,230435,14,0,552
19:39:56,2292544,230435,230435,14,0,552
19:40:01,2292544,230435,230435,14,0,552
19:40:07,2292544,230435,230435,14,0,552
19:40:12,2292544,230435,230435,14,0,552
19:40:17,2292544,230435,230435,14,0,552
19:40:22,2292642,230437,230437,8,0,552
19:40:27,2292691,230438,230438,9,0,552
19:40:32,2292740,230439,230439,10,0,552
19:40:38,2292789,230440,230440,11,0,552
19:40:43,2292838,230441,230441,12,0,552
19:40:48,2292887,230442,230442,13,0,552
19:40:53,2292887,230442,230442,13,0,552
19:40:58,2292936,230443,230443,14,0,552
19:41:03,2292936,230443,230443,14,0,552
19:41:09,2292936,230443,230443,14,0,552
19:41:14,2292936,230443,230443,14,0,552
19:41:19,2292984,230445,230445,8,0,552
19:41:24,2293034,230445,230445,8,0,552
19:41:29,2293128,230448,230448,11,0,552
19:41:34,2293157,230448,230448,11,0,552
19:41:40,2293241,230450,230450,13,0,552
19:41:45,2293279,230450,230450,13,0,552
19:41:50,2293279,230450,230450,13,0,552
19:41:55,2293328,230451,230451,14,0,542
19:42:00,2293328,230451,230451,14,0,532
19:42:05,2293328,230451,230451,14,0,522
19:42:10,2293328,230451,230451,14,0,512
19:42:16,2293328,230451,230451,14,0,502
19:42:21,2293328,230451,230451,14,0,492
19:42:26,2293376,230453,230453,8,0,482
19:42:31,2293472,230454,230454,9,0,470
19:42:36,2293505,230455,230455,11,0,460
19:42:41,2293590,230457,230457,12,0,450
19:42:47,2293622,230457,230457,12,0,442
19:42:52,2293671,230458,230458,13,0,437
19:42:57,2293671,230458,230458,13,0,432
19:43:02,2293720,230459,230459,14,0,426
19:43:07,2293720,230459,230459,14,0,421
19:43:12,2293768,230461,230461,8,0,417
19:43:18,2293867,230462,230462,9,0,417
19:43:23,2293907,230463,230463,11,0,417
19:43:28,2293949,230464,230464,11,0,417
19:43:33,2294044,230466,230466,13,0,417
19:43:38,2294063,230466,230466,13,0,417
19:43:43,2294063,230466,230466,13,0,417
19:43:48,2294112,230467,230467,14,0,417
19:43:54,2294112,230467,230467,14,0,417
19:43:59,2294112,230467,230467,14,0,417
19:44:04,2294112,230467,230467,14,0,417
19:44:09,2294184,230470,230470,9,0,417
19:44:14,2294184,230470,230470,9,0,417
19:44:20,2294232,230472,230472,11,0,417
19:44:25,2294307,230472,230472,11,0,417
19:44:30,2294414,230474,230474,13,0,417
19:44:35,2294455,230474,230474,13,0,417
19:44:40,2294455,230474,230474,13,0,417
19:44:45,2294504,230475,230475,14,0,417
19:44:51,2294504,230475,230475,14,0,417
19:44:56,2294504,230475,230475,14,0,417
19:45:01,2294504,230475,230475,14,0,417
19:45:06,2294504,230475,230475,14,0,417
19:45:11,2294504,230475,230475,14,0,417
19:45:16,2294576,230478,230478,9,0,417
19:45:22,2294576,230478,230478,9,0,416
19:45:27,2294648,230481,230481,12,0,411
19:45:32,2294764,230481,230481,12,0,405
19:45:37,2294847,230482,230482,13,0,400
19:45:42,2294847,230482,230482,13,0,395
19:45:47,2294896,230483,230483,14,0,390
19:45:52,2294896,230483,230483,14,0,385
19:45:58,2294944,230485,230485,8,0,380
19:46:03,2294968,230486,230486,9,0,379
19:46:08,2295016,230488,230488,11,0,379
19:46:13,2295082,230488,230488,11,0,379
19:46:18,2295142,230489,230489,12,0,379
19:46:23,2295231,230490,230490,13,0,379
19:46:29,2295239,230490,230490,13,0,374
19:46:34,2295288,230491,230491,14,0,370
19:46:39,2295288,230491,230491,14,0,370
19:46:44,2295288,230491,230491,14,0,370
19:46:49,2295288,230491,230491,14,0,370
19:46:54,2295360,230494,230494,9,0,370
19:47:00,2295360,230494,230494,9,0,370
19:47:05,2295408,230496,230496,11,0,370
19:47:10,2295432,230497,230497,12,0,370
19:47:15,2295456,230498,230498,13,0,370
19:47:20,2295521,230498,230498,13,0,370
19:47:25,2295586,230498,230498,14,0,370
19:47:30,2295680,230499,230499,14,0,367
19:47:36,2295680,230499,230499,14,0,364
19:47:41,2295680,230499,230499,14,0,364
19:47:46,2295680,230499,230499,14,0,364
19:47:51,2295680,230499,230499,14,0,364
19:47:56,2295728,230501,230501,8,0,364
19:48:01,2295752,230502,230502,9,0,364
19:48:07,2295752,230502,230502,9,0,364
19:48:12,2295800,230504,230504,11,0,364
19:48:17,2295848,230506,230506,13,0,362
19:48:22,2295848,230506,230506,13,0,356
19:48:27,2295946,230506,230506,13,0,351
19:48:32,2296072,230507,230507,14,0,346
19:48:37,2296072,230507,230507,14,0,341
19:48:43,2296072,230507,230507,14,0,336
19:48:48,2296144,230510,230510,9,0,331
19:48:53,2296144,230510,230510,9,0,325
19:48:58,2296168,230511,230511,10,0,320
19:49:03,2296216,230513,230513,12,0,315
19:49:08,2296240,230514,230514,13,0,311
19:49:14,2296240,230514,230514,13,0,311
19:49:19,2296383,230514,230514,13,0,311
19:49:24,2296464,230515,230515,14,0,309
19:49:29,2296464,230515,230515,14,0,304
19:49:34,2296464,230515,230515,14,0,298
19:49:39,2296464,230515,230515,14,0,293
19:49:44,2296536,230518,230518,9,0,293
19:49:50,2296536,230518,230518,9,0,293
19:49:55,2296584,230520,230520,11,0,293
19:50:00,2296632,230522,230522,13,0,293
19:50:05,2296632,230522,230522,13,0,293
19:50:10,2296632,230522,230522,13,0,293
19:50:15,2296656,230523,230523,14,0,293
19:50:21,2296656,230523,230523,14,0,293
19:50:26,2296656,230523,230523,14,0,293
19:50:31,2296856,230523,230523,14,0,291
19:50:36,2296856,230523,230523,14,0,291
19:50:41,2296856,230523,230523,14,0,291
19:50:46,2296856,230523,230523,14,0,291
19:50:52,2296856,230523,230523,14,0,291
19:50:57,2296856,230523,230523,14,0,291
19:51:02,2296904,230525,230525,8,0,291
19:51:07,2296928,230526,230526,9,0,291
19:51:12,2297000,230529,230529,12,0,291
19:51:17,2297024,230530,230530,13,0,286
19:51:22,2297024,230530,230530,13,0,280
19:51:28,2297024,230530,230530,13,0,275
19:51:33,2297048,230531,230531,14,0,270
19:51:38,2297048,230531,230531,14,0,265
19:51:43,2297120,230531,230531,14,0,260
19:51:48,2297248,230531,230531,14,0,255
19:51:53,2297248,230531,230531,14,0,254
19:51:58,2297248,230531,230531,14,0,254
19:52:04,2297296,230533,230533,8,0,254
19:52:09,2297344,230535,230535,10,0,254
19:52:14,2297344,230535,230535,10,0,254
19:52:19,2297368,230536,230536,11,0,254
19:52:24,2297416,230538,230538,13,0,254
