image,phase,client_id,total_duration_s,total_bytes,layer_digest_short,layer_duration_s,layer_size,layer_status,layer_cache_status
python,1_cold_A,0,34.358,410464994,sha256:299c82f5afaa,0.0408,6525,200,unknown
python,1_cold_A,0,34.358,410464994,sha256:866771c43bf5,17.5994,49293124,200,unknown
python,1_cold_A,0,34.358,410464994,sha256:ed881fbf1b07,5.7139,25614562,200,unknown
python,1_cold_A,0,34.358,410464994,sha256:9da421ddeb65,22.3446,67778971,200,unknown
python,1_cold_A,0,34.358,410464994,sha256:a793e3c6bce8,34.3547,236030458,200,unknown
python,1_cold_A,0,34.358,410464994,sha256:10c3183ecaa6,4.2390,6085049,200,unknown
python,1_cold_A,0,34.358,410464994,sha256:15991188a884,9.9939,25656055,200,unknown
python,1_cold_A,0,34.358,410464994,sha256:5142ad1c6011,0.0751,250,200,unknown
python,1_cold_A,1,34.358,410464994,sha256:299c82f5afaa,0.0377,6525,200,unknown
python,1_cold_A,1,34.358,410464994,sha256:866771c43bf5,17.5971,49293124,200,unknown
python,1_cold_A,1,34.358,410464994,sha256:ed881fbf1b07,5.7113,25614562,200,unknown
python,1_cold_A,1,34.358,410464994,sha256:9da421ddeb65,22.3428,67778971,200,unknown
python,1_cold_A,1,34.358,410464994,sha256:a793e3c6bce8,34.3536,236030458,200,unknown
python,1_cold_A,1,34.358,410464994,sha256:10c3183ecaa6,4.2364,6085049,200,unknown
python,1_cold_A,1,34.358,410464994,sha256:15991188a884,9.9919,25656055,200,unknown
python,1_cold_A,1,34.358,410464994,sha256:5142ad1c6011,0.0730,250,200,unknown
python,1_cold_A,2,34.358,410464994,sha256:299c82f5afaa,0.0357,6525,200,unknown
python,1_cold_A,2,34.358,410464994,sha256:866771c43bf5,17.5944,49293124,200,unknown
python,1_cold_A,2,34.358,410464994,sha256:ed881fbf1b07,5.7091,25614562,200,unknown
python,1_cold_A,2,34.358,410464994,sha256:9da421ddeb65,22.3405,67778971,200,unknown
python,1_cold_A,2,34.358,410464994,sha256:a793e3c6bce8,34.3512,236030458,200,unknown
python,1_cold_A,2,34.358,410464994,sha256:10c3183ecaa6,4.2344,6085049,200,unknown
python,1_cold_A,2,34.358,410464994,sha256:15991188a884,9.9885,25656055,200,unknown
python,1_cold_A,2,34.358,410464994,sha256:5142ad1c6011,0.0709,250,200,unknown
python,1_cold_A,3,34.358,410464994,sha256:299c82f5afaa,0.0339,6525,200,unknown
python,1_cold_A,3,34.358,410464994,sha256:866771c43bf5,17.5922,49293124,200,unknown
python,1_cold_A,3,34.358,410464994,sha256:ed881fbf1b07,5.7069,25614562,200,unknown
python,1_cold_A,3,34.358,410464994,sha256:9da421ddeb65,22.3383,67778971,200,unknown
python,1_cold_A,3,34.358,410464994,sha256:a793e3c6bce8,34.3490,236030458,200,unknown
python,1_cold_A,3,34.358,410464994,sha256:10c3183ecaa6,4.2324,6085049,200,unknown
python,1_cold_A,3,34.358,410464994,sha256:15991188a884,9.9876,25656055,200,unknown
python,1_cold_A,3,34.358,410464994,sha256:5142ad1c6011,0.0688,250,200,unknown
python,1_cold_A,4,34.358,410464994,sha256:299c82f5afaa,0.0313,6525,200,unknown
python,1_cold_A,4,34.358,410464994,sha256:866771c43bf5,17.5905,49293124,200,unknown
python,1_cold_A,4,34.358,410464994,sha256:ed881fbf1b07,5.7052,25614562,200,unknown
python,1_cold_A,4,34.358,410464994,sha256:9da421ddeb65,22.3360,67778971,200,unknown
python,1_cold_A,4,34.358,410464994,sha256:a793e3c6bce8,34.3469,236030458,200,unknown
python,1_cold_A,4,34.358,410464994,sha256:10c3183ecaa6,4.2304,6085049,200,unknown
python,1_cold_A,4,34.358,410464994,sha256:15991188a884,9.9855,25656055,200,unknown
python,1_cold_A,4,34.358,410464994,sha256:5142ad1c6011,0.0668,250,200,unknown
python,1_cold_A,5,34.358,410464994,sha256:299c82f5afaa,0.0293,6525,200,unknown
python,1_cold_A,5,34.358,410464994,sha256:866771c43bf5,17.5879,49293124,200,unknown
python,1_cold_A,5,34.358,410464994,sha256:ed881fbf1b07,5.7031,25614562,200,unknown
python,1_cold_A,5,34.358,410464994,sha256:9da421ddeb65,22.3339,67778971,200,unknown
python,1_cold_A,5,34.358,410464994,sha256:a793e3c6bce8,34.3448,236030458,200,unknown
python,1_cold_A,5,34.358,410464994,sha256:10c3183ecaa6,4.2280,6085049,200,unknown
python,1_cold_A,5,34.358,410464994,sha256:15991188a884,9.9833,25656055,200,unknown
python,1_cold_A,5,34.358,410464994,sha256:5142ad1c6011,0.0647,250,200,unknown
python,1_cold_A,6,34.358,410464994,sha256:299c82f5afaa,0.0276,6525,200,unknown
python,1_cold_A,6,34.358,410464994,sha256:866771c43bf5,17.5859,49293124,200,unknown
python,1_cold_A,6,34.358,410464994,sha256:ed881fbf1b07,5.7005,25614562,200,unknown
python,1_cold_A,6,34.358,410464994,sha256:9da421ddeb65,22.3319,67778971,200,unknown
python,1_cold_A,6,34.358,410464994,sha256:a793e3c6bce8,34.3416,236030458,200,unknown
python,1_cold_A,6,34.358,410464994,sha256:10c3183ecaa6,4.2249,6085049,200,unknown
python,1_cold_A,6,34.358,410464994,sha256:15991188a884,9.9801,25656055,200,unknown
python,1_cold_A,6,34.358,410464994,sha256:5142ad1c6011,0.0613,250,200,unknown
python,1_cold_A,7,34.358,410464994,sha256:299c82f5afaa,0.0241,6525,200,unknown
python,1_cold_A,7,34.358,410464994,sha256:866771c43bf5,17.5831,49293124,200,unknown
python,1_cold_A,7,34.358,410464994,sha256:ed881fbf1b07,5.6978,25614562,200,unknown
python,1_cold_A,7,34.358,410464994,sha256:9da421ddeb65,22.3289,67778971,200,unknown
python,1_cold_A,7,34.358,410464994,sha256:a793e3c6bce8,34.3395,236030458,200,unknown
